# === Drakeo The Ruler ===
Drakeo The Ruler - Talk To Me | heavy_slang accent_dialect
Drakeo The Ruler - Impatient Freestyle | heavy_slang accent_dialect
Drakeo The Ruler - Flu Flamming | heavy_slang accent_dialect
Drakeo The Ruler - Big Banc Uchies | heavy_slang accent_dialect
Drakeo The Ruler - Roll Bounce | heavy_slang accent_dialect
Drakeo The Ruler - Out The Slums | heavy_slang accent_dialect
Drakeo The Ruler - Musty Freestyle | heavy_slang accent_dialect
Drakeo The Ruler - 300 Raccs | heavy_slang accent_dialect
Drakeo The Ruler - We Know The Truth | heavy_slang accent_dialect
Drakeo The Ruler - Betchua Freestyle | heavy_slang accent_dialect
Drakeo The Ruler - Too Icey | heavy_slang accent_dialect
Drakeo The Ruler - Ion Rap Beef | heavy_slang accent_dialect
Drakeo The Ruler - Long Live The Greatest | heavy_slang accent_dialect
Drakeo The Ruler - Fights Don't Matter | heavy_slang accent_dialect
Drakeo The Ruler - Mr. Get Dough | heavy_slang accent_dialect

# === Lil Yachty ===
Lil Yachty - Minnesota | melodic ad_libs
Lil Yachty - 1 Night | melodic
DRAM - Broccoli | melodic
Lil Yachty - Wanna Be Us | melodic
Lil Yachty - Poland | melodic autotune
KYLE - iSpy | melodic
Lil Yachty - Peek A Boo | melodic ad_libs
Quavo - Ice Tray | melodic
Lil Yachty - Shoot Out The Roof | melodic
Lil Yachty - Water on My Face | melodic
Lil Yachty - All In | melodic
Calvin Harris - Faking It | melodic singing

# === Lazer Dim 700 ===
Lazer Dim 700 - Laced Max | heavy_slang accent_dialect
Lazer Dim 700 - STILL IN THE PAINT | heavy_slang accent_dialect
Lazer Dim 700 - Asian Rock | heavy_slang accent_dialect
Lazer Dim 700 - Treacherous | heavy_slang accent_dialect
Lazer Dim 700 - WTM | heavy_slang accent_dialect

# === SahBabii ===
SahBabii - Squidrific | melodic heavy_slang
SahBabii - Purple Ape | melodic heavy_slang
SahBabii - Lost All My Feelings | melodic
SahBabii - Watery | melodic heavy_slang
SahBabii - Bread Head | melodic heavy_slang
SahBabii - Tonight | melodic
SahBabii - Marsupial Superstars | melodic heavy_slang
SahBabii - Viking | melodic heavy_slang
SahBabii - Honey Bees | melodic heavy_slang
SahBabii - Purple Umbrella | melodic

# === Clear delivery (from original list) ===
Lil Baby - Emotionally Scarred | melodic
Lil Baby - Pure Cocaine | melodic heavy_slang
Polo G - Martin and Gina | melodic singing
J. Cole - Love Yourz | fast_flow
J. Cole - Wet Dreamz | fast_flow
J. Cole - ATM | fast_flow
Kendrick Lamar - Swimming Pools | fast_flow
Kendrick Lamar - Poetic Justice | fast_flow
Drake - Gods Plan | melodic
Drake - Started From the Bottom | fast_flow
Juice WRLD - Robbery | melodic singing
Juice WRLD - Wishing Well | melodic singing
Lil Tecca - Ransom | melodic
21 Savage - A Lot | fast_flow heavy_slang
A Boogie Wit Da Hoodie - Drowning | melodic singing
YNW Melly - Murder on My Mind | melodic singing
